,geometry,address
0,POINT (13.3144178392181 52.509784698486),"Charlottenburg, BE, Germany, Germany"
1,POINT (13.2961015701217 52.530445098886),"Charlottenburg-Nord, BE, Germany, Germany"
2,POINT (13.2658042907217 52.4833831787859),"Grunewald, BE, Germany, Germany"
3,POINT (13.2956886292178 52.495975494386),"Halensee, BE, Germany, Germany"
4,POINT (13.2900476455217 52.4757957458597),"Schmargendorf, BE, Germany, Germany"
5,POINT (13.2598075862172 52.5161972048604),"Westend, BE, Germany, Germany"
6,POINT (13.3203697204218 52.4829826354859),"Wilmersdorf, BE, Germany, Germany"
7,POINT (13.445509910522 52.512725830086),"Friedrichshain, BE, Germany, Germany"
8,POINT (13.3949632644219 52.493450164786),"Kreuzberg, BE, Germany, Germany"
9,POINT (13.5082178115221 52.548442840586),"Alt-Hohenschönhausen, BE, Germany, Germany"
10,POINT (13.5454902648221 52.5678672790861),"Falkenberg, BE, Germany, Germany"
11,POINT (13.469067573522 52.531280517586),"Fennpfuhl, BE, Germany, Germany"
12,POINT (13.5114536282213 52.505550384586),"Friedrichsfelde, BE, Germany, Germany"
13,POINT (13.5319948196221 52.4840469360859),"Karlshorst, BE, Germany, Germany"
14,POINT (13.4983072280221 52.514556884786),"Lichtenberg, BE, Germany, Germany"
15,POINT (13.483261108322 52.5829277038861),"Malchow, BE, Germany, Germany"
16,POINT (13.5150251388221 52.5672950744861),"Neu-Hohenschönhausen, BE, Germany, Germany"
17,POINT (13.4929351806221 52.500953674386),"Rummelsburg, BE, Germany, Germany"
18,POINT (13.5180253982221 52.5748672485861),"Wartenberg, BE, Germany, Germany"
19,POINT (13.5531558990222 52.508995056186),"Biesdorf, BE, Germany, Germany"
20,POINT (13.6088390350222 52.532852172886),"Hellersdorf, BE, Germany, Germany"
21,POINT (13.5893020629222 52.516605377186),"Kaulsdorf, BE, Germany, Germany"
22,POINT (13.6136283874223 52.509651184086),"Mahlsdorf, BE, Germany, Germany"
23,POINT (13.5729579925222 52.550746917786),"Marzahn, BE, Germany, Germany"
24,POINT (13.3839292526219 52.5549278259861),"Gesundbrunnen, BE, Germany, Germany"
25,POINT (13.3379850387218 52.513786315986),"Hansaviertel, BE, Germany, Germany"
26,POINT (13.366999626219 52.516998291086),"Mitte, BE, Germany, Germany"
27,POINT (13.3392820358218 52.525634765686),"Moabit, BE, Germany, Germany"
28,POINT (13.3586025238218 52.509899139486),"Tiergarten, BE, Germany, Germany"
29,POINT (13.3652534484218 52.543014526386),"Wedding, BE, Germany, Germany"
30,POINT (13.434184074422 52.4444122314859),"Britz, BE, Germany, Germany"
31,POINT (13.435532569822 52.4248237609858),"Buckow, BE, Germany, Germany"
32,POINT (13.465502738922 52.4286613464858),"Gropiusstadt, BE, Germany, Germany"
33,POINT (13.449999809222 52.4830017089859),"Neukölln, BE, Germany, Germany"
34,POINT (13.483478546122 52.4259033203858),"Rudow, BE, Germany, Germany"
35,POINT (13.4533061982204 52.5933151245861),"Blankenburg, BE, Germany, Germany"
36,POINT (13.3902463912219 52.6184883117862),"Blankenfelde, BE, Germany, Germany"
37,POINT (13.4973297119221 52.6342811584862),"Buch, BE, Germany, Germany"
38,POINT (4.35571713639526 50.8458330533273),"Belgium, Belgium"
39,POINT (6.31670808792103 50.3742866516825),"Buchholz, Belgium, Belgium"
40,POINT (13.437617301922 52.5717735290861),"Heinersdorf, BE, Germany, Germany"
41,POINT (13.481223106322 52.6093101501861),"Karow, BE, Germany, Germany"
42,POINT (13.4026441572195 52.5855026245861),"Niederschönhausen, BE, Germany, Germany"
43,POINT (13.4032354354219 52.5695953369861),"Pankow, BE, Germany, Germany"
44,POINT (13.4232139582199 52.551139831586),"Prenzlauer Berg, BE, Germany, Germany"
45,POINT (7.78076982498127 47.181877136773),"Berg, Switzerland, Switzerland"
46,POINT (13.3783435821219 52.6003799438861),"Rosenthal, BE, Germany, Germany"
47,POINT (4.35571713639526 50.8458330533273),"Belgium, Belgium"
48,POINT (13.483261108322 52.5829277038861),"Malchow, BE, Germany, Germany"
49,POINT (13.469113349922 52.5550575256861),"Weißensee, BE, Germany, Germany"
50,POINT (13.3681316375219 52.5872764588615),"Wilhelmsruh, BE, Germany, Germany"
51,POINT (13.3095331192218 52.5838928222861),"Borsigwalde, BE, Germany, Germany"
52,POINT (13.2912015914217 52.6328926086862),"Frohnau, BE, Germany, Germany"
53,POINT (13.2449617385217 52.6144142150862),"Heiligensee, BE, Germany, Germany"
54,POINT (13.3128871917218 52.6224136352862),"Hermsdorf, BE, Germany, Germany"
